Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,139.77,-73.73,0.0,bottom
C2,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.77,-76.13,270.0,bottom
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.31,-76.12,270.0,bottom
C4,30pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,141.78,-71.34,270.0,bottom
C5,30pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.84,-76.1175,270.0,bottom
J2,USB_A_PCB_Edge_receptacle,USB_A_PCB_Edge_receptacle,137.5,-75.08,180.0,top
R2,1k,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.32,-71.34,90.0,bottom
R3,10k,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,138.85,-79.4275,90.0,bottom
R4,10k,C_0603_1608Metric,138.84,-71.34,90.0,bottom
R5,10k,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,140.31,-79.4275,270.0,bottom
SW1,TS-1077S-01726,KEY-SMD_4P-L3.1-W3.1-P2.00_TS-1077S-01726,118.86,-77.48,90.0,top
SW2,TS-1077S-01726,KEY-SMD_4P-L3.1-W3.1-P2.00_TS-1077S-01726,118.86,-72.71,90.0,top
U1,ESP-M2,ESP-M2,123.74,-75.09,270.0,bottom
U2,AP2112K-3.3,SOT-23-5,136.3125,-72.86,270.0,bottom
U3,CH340G,SOIC-16_3.9x9.9mm_P1.27mm,124.8,-75.09,180.0,top
Y1,12MHz,Crystal_SMD_5032-2Pin_5.0x3.2mm,133.7,-78.98,180.0,bottom
